Open,High,Low,Close,Adj Close,Volume
65100,65600,64900,65400,64431.65234,8876749
65600,65700,64700,65100,64136.09375,9791064
66300,66300,65400,65900,64924.24609,9405365
65800,65800,65100,65300,64333.13281,9366861
65500,65500,64300,64600,63643.49609,13057727
64700,65100,64200,64200,63249.42188,11648905
63700,64600,63600,64100,63150.89844,8693913
64100,64600,63900,64500,63544.97656,8172021
65800,65900,65300,65400,64431.65234,12334657
65900,65900,64800,65000,64037.57422,10745504
66000,66200,65700,66200,65219.80469,14431704
67800,68400,67500,68400,67387.22656,20349345
68400,69000,68000,68500,67485.75,14470308
68500,68700,68100,68400,67387.22656,8561643
68100,68700,68000,68500,67485.75,8192896
69900,70000,68700,68800,67781.3125,14231160
69800,70400,69500,70300,69259.09375,19549511
71300,72300,71200,72300,71229.49219,27476897
72400,72500,71000,71400,70342.8125,25666087
70900,71600,70600,70900,69850.21875,14669296
71700,72200,71600,72200,71130.96875,12161798
72700,72700,71400,71700,70638.36719,12686829
71300,71600,70800,71000,69948.73438,14796613
70400,70900,70000,70900,69850.21875,19165568
71100,72300,70800,72000,70933.92969,15050209
72100,72400,70800,71000,69948.73438,12064287
71700,72200,71600,72000,70933.92969,13227285
72100,72200,71100,71900,70835.40625,12541046
72100,72300,71300,71500,70441.32813,13614994
71800,71900,70900,71800,70736.88281,15373696
71300,71700,70900,71200,70145.77344,11100887
70700,71400,70400,71400,70342.8125,11557883
70700,71200,70400,70500,69456.14844,10626603
70200,71500,70100,71300,70244.28906,11411007
72000,72200,71600,71600,70539.85156,12329484
71700,72500,71500,72400,71328.00781,10541901
72500,72600,72000,72600,71525.04688,9442997
72600,72700,72000,72700,71623.5625,8783093
73100,73400,72400,72400,71683.95313,12229967
72500,72700,71700,72200,71485.9375,11694765
72700,73200,72600,73000,72278.02344,10722181
73400,73600,72900,73000,72278.02344,10214350
73000,73300,71900,72000,71287.92188,12310610
71900,72400,71500,71600,70891.875,14777667
71100,71400,69800,69900,69208.67969,17308877
70000,70400,69200,69500,68812.64063,11713926
70200,71500,70100,71500,70792.85938,12177392
71200,72000,71100,71900,71188.90625,10375581
72400,72600,71900,71900,71188.90625,14417279
72500,73400,72400,73400,72674.07031,15882519
73200,73500,72800,73300,72575.05469,10060049
73200,73500,72000,72000,71287.92188,11697900
72700,72800,71300,71700,70990.88281,10896412
71100,71500,70800,71000,70297.80469,9732730
70400,70400,69400,70300,69604.72656,16528926
70100,70900,69900,70400,69703.74219,13418597
70000,70500,69800,70000,69307.69531,14314945
69800,70600,68100,69800,69109.67188,30016221
69900,71700,69300,71700,70990.88281,24261179
71800,72400,70100,70600,69901.75781,19420683
